Tweet,Tennis?,Timestamp,Timestamp_second,Timestamp_minute,Timestamp_hour,Created_at,Screen_name,Sentiment,Latitude,Longitude,placeagain,stateagain,states,SumOfCount,Delete,Id_string,Track_1,Track_2,Track_3,Track_4,Track_5,Track_6
I am going to fail at tennis,TRUE,27:13.0,8/17/2015 16:27,8/17/2015 16:27,2015-08-17 16,Mon Aug 17 21:27:12 +0000 2015,sophievedock,-0.5423,0,0,Lake Quivira,KS,Kansas,1,0,6.33E+17,1,0,0,0,0,0
Newest tennis coach http://t.co/WNzmehx79U,TRUE,46:05.9,8/18/2015 12:46,8/18/2015 12:46,2015-08-18 12,Tue Aug 18 17:46:05 +0000 2015,_ddickensss,0,0,0,Reidsville,NC,North Carolina,1,0,6.34E+17,1,0,0,0,0,0
Now I officially see why I hate wearing tennis shoes ðŸ˜’ I hate for my feet to feel smothered and hot time to kick these fckers off prontoðŸ™ŒðŸ½,TRUE,51:11.3,8/18/2015 12:51,8/18/2015 12:51,2015-08-18 12,Tue Aug 18 17:51:10 +0000 2015,NeshaaJayee,-0.8519,0,0,Lenoir,NC,North Carolina,1,0,6.34E+17,1,0,0,0,0,0
"Yesterday when we left tennis practice, Dangerfield said to eat some carbs... I sure hope pizza counts.",TRUE,57:44.5,8/18/2015 12:57,8/18/2015 12:57,2015-08-18 12,Tue Aug 18 17:57:44 +0000 2015,Megan_smith017,0.6369,0,0,Pinehurst,NC,North Carolina,1,0,6.34E+17,1,0,0,0,0,0
Selling Ed Sheeran tickets!! ðŸŽ‰ Just found out I have tennis that weekend so can't go! Hit me up if you wanna go :) they are like $80,TRUE,06:29.2,8/18/2015 13:06,8/18/2015 13:06,2015-08-18 13,Tue Aug 18 18:06:28 +0000 2015,paige_hourigan,0.7488,0,0,Atlanta,GA,Georgia,1,0,6.34E+17,1,0,0,0,0,0
I don't want to go to tennis cause I'm sick but heathers making me,TRUE,08:37.8,8/18/2015 13:08,8/18/2015 13:08,2015-08-18 13,Tue Aug 18 18:08:37 +0000 2015,amanda_wray21,-0.3096,0,0,Camarillo,CA,California,1,0,6.34E+17,1,0,0,0,0,0
Selling Ed Sheeran tickets!! ðŸŽ‰ Just found out I have tennis that weekend so can't go! Hit me up if you wanna go :) they are like $150 each,TRUE,09:20.0,8/18/2015 13:09,8/18/2015 13:09,2015-08-18 13,Tue Aug 18 18:09:19 +0000 2015,paige_hourigan,0.7488,0,0,Atlanta,GA,Georgia,1,0,6.34E+17,1,0,0,0,0,0
@cristiesoave_ u suck at tennis,TRUE,11:01.5,8/18/2015 13:11,8/18/2015 13:11,2015-08-18 13,Tue Aug 18 18:11:01 +0000 2015,j_vanittersum,-0.4404,0,0,Michigan,MI,Michigan,1,0,6.34E+17,1,0,0,0,0,0
tennis. eat. swim. repeat.,TRUE,11:59.2,8/18/2015 13:11,8/18/2015 13:11,2015-08-18 13,Tue Aug 18 18:11:58 +0000 2015,that_tall_ging,0,0,0,Bethlehem,PA,Pennsylvania,1,0,6.34E+17,1,0,0,0,0,0
@bgtennisnation Life on Tour blog by Kevin Anderson's wife Kelsey is Great stuff https://t.co/AggPd1SOYd,TRUE,19:26.8,8/18/2015 13:19,8/18/2015 13:19,2015-08-18 13,Tue Aug 18 18:19:26 +0000 2015,JLindyNYC,0.6249,0,0,Manhattan,NY,New York,1,0,6.34E+17,1,0,0,0,0,0
