state,interest
Connecticut,100
California,96
Florida,92
District of Columbia,89
New York,89
Hawaii,89
New Jersey,87
Maryland,87
Georgia,86
Massachusetts,85
Mississippi,79
Rhode Island,78
Vermont,78
South Carolina,78
North Carolina,78
Oklahoma,78
Texas,78
Alabama,77
Pennsylvania,77
Louisiana,76
Minnesota,74
Delaware,74
Ohio,73
Washington,72
New Hampshire,72
Tennessee,72
Kentucky,71
Illinois,71
Michigan,69
Colorado,68
Indiana,67
Maine,64
Utah,64
Nevada,63
Wisconsin,63
Nebraska,63
Iowa,63
Missouri,62
Arizona,62
Kansas,61
New Mexico,59
West Virginia,58
Arkansas,58
Montana,58
Idaho,58
Wyoming,57
South Dakota,55
North Dakota,54
Virginia,49
Oregon,41
Alaska,38
